能力	DSH出处包	要不要	落在哪个Go包	缺口说明
OpenTelemetry遥测后端，支持FULL、FEEDBACK_ONLY、DISABLED三种模式	session/session-telemetry-otel	不需要	—	缺前置：OTLP 采集端。遥测投递不属运行时职责
日志支持的会话标题，提供确定性回退与可选异步提供方	session/session-title	需要	feature/sessiontitle	
通过LLM总结所有用户消息的会话标题提供方	session/session-title-all-prompts-llm	需要	feature/sessiontitle/sessiontitlellm	
通过LLM总结第一条用户消息的会话标题提供方	session/session-title-first-prompt-llm	需要	feature/sessiontitle/sessiontitlellm	
模型支持的会话标题提供方共享实现	session/session-title-llm	需要	feature/sessiontitle/sessiontitlellm	
turnOutline 投影单元，给出全日志每个已开始轮次的 turn/start seq 与有界提示词、最终回复预览，支撑整会话轮次导航与向后分页定位	session/session-turn-outline	需要	feature/turnoutline	
用户设置Service Definition，管理按namespace分节的schema默认值、组合base与用户层解析	settings/settings	需要	harness/agentdefaultmodel settings	
基于YAML/JSON文件的settings提供方，支持外部编辑热发布、并发写锁、YAML注释保留	settings/settings-file	不需要	—	缺前置：本机文件系统
本地 bash 执行器，通过 subprocess 提供前台和后台 shell 执行能力	shell/bash-local	不需要	—	缺前置：起本机子进程的能力
沙箱消费型 bash 执行器，通过 sandbox 限制每次 spawn 并报告拒绝	shell/bash-sandbox	不需要	—	缺前置：起本机子进程的能力、单进程独占（本仓库要多实例并发）
本地 PowerShell 执行器，通过 subprocess 提供前台和后台 shell 执行能力	shell/pwsh-local	不需要	—	缺前置：起本机子进程的能力
沙箱消费型 PowerShell 执行器，通过 sandbox 限制每次 spawn 并报告拒绝	shell/pwsh-sandbox	不需要	—	缺前置：起本机子进程的能力、单进程独占（本仓库要多实例并发）
定义 shell 执行器接口，不规定如何实现前台命令和后台进程	shell/shell	不需要	—	缺前置：无
工具无关的 shell 环境插件，管理受信任的 DSH_* 变量供 shell 工具使用	shell/shell-env	不需要	—	缺前置：无
面向模型的 bash 工具，支持前台运行、后台启动和沙箱升权	shell/tool-bash	不需要	—	缺前置：起本机子进程的能力
持久 shell 工具，复用按 agent 隔离的 ctx.terminals shell	shell/tool-bash-persistent	不需要	—	缺前置：交互式 TTY
面向模型的 pwsh 工具，支持前台运行、后台启动和沙箱升权	shell/tool-pwsh	不需要	—	缺前置：起本机子进程的能力
持久 PowerShell 工具，复用按 agent 隔离的 ctx.terminals shell	shell/tool-pwsh-persistent	不需要	—	缺前置：交互式 TTY
纯agent skill提供方注册表，Service Definition与策略框架	skill/skill	需要	feature/skill feature/skill/skilltool	
可选内置skill提供方dsh-badge，官方markdown片段与PNG	skill/skill-badge	不需要	—	不缺前置：纯 DSH 品牌资源，不服务五条前提
ctx.skills的本地文件系统提供方，扫描SKILL.md与平铺Markdown文件	skill/skill-filesystem	不需要	—	缺前置：本机文件系统
面向模型的skill目录与skill工具，展示可用skill并加载完整指令	skill/tool-skill	需要	feature/skill/skilltool	
spill能力Service Definition，定义后端存储过大工具文本并返回定位信息与取回指引	spill/spill	需要	spill	
本地文件系统spill实现，将工具结果保存到会话级私有文件，定位信息是文件路径	spill/spill-local	不需要	adapter/textstore	服务端替代实现见 adapter/textstore；缺前置：本机文件系统
工具结果spill策略，对过大纯文本结果执行spill并替换为有界预览与取回指引	spill/spill-policy	需要	feature/spillpolicy	
非会话数据存储中心，具名后端注册表加数据形式设施	storage/storage	需要	storage storage/storagetest	
存储中心领域数据形式，在后端上暴露可注入的storageDomain服务	storage/storage-domain	需要	storage/domain	
存储中心JSON后端，每个单元一个JSON文件	storage/storage-json	不需要	—	缺前置：本机文件系统
存储中心SQLite后端，单个数据库提供kv facet	storage/storage-sqlite	取形重写	adapter/datastore	取键值怎么映射成表、迁移怎么走；后端已定 Postgres
提供子agent运行的接缝抽象，管理provider注册、启动、持久化子agent描述符及可继续子级编排	subagent/subagent	需要	feature/subagent feature/subagent/internal/childseed	
通过Agent Client Protocol在全新子进程运行subagent，并作为ACP客户端驱动它	subagent/subagent-acp	不需要	—	缺前置：起本机子进程的能力、交互式 TTY
在发起委托的会话工作区中调用官方Claude Agent SDK运行subagent任务	subagent/subagent-claude-code	不需要	—	缺前置：起本机子进程的能力、交互式 TTY
在全新临时Codex线程中启动subagent，通过app-server --stdio与Codex通信	subagent/subagent-codex	不需要	—	缺前置：起本机子进程的能力、交互式 TTY
通过TypeScript SDK客户端在全新子进程运行完整DeepSeek Harness运行时作为subagent	subagent/subagent-dsh-sdk	不需要	—	缺前置：起本机子进程的能力、交互式 TTY
在当前进程创建子agent，以父agent已完成的对话轮次作为初始内容	subagent/subagent-fork-in-process	需要	feature/subagent/forkinprocess	
两个进程内provider共用的运行驱动器，处理深度、创建、定制、结果读取、取消和dispose	subagent/subagent-in-process-driver	需要	feature/subagent/inprocessdriver	
在当前进程创建全新子agent，有自己的会话但以空对话开始运行	subagent/subagent-spawn-in-process	需要	feature/subagent/spawninprocess	
基于已配置provider的面向模型委派工具，前台或后台执行subagent任务	subagent/tool-subagent	需要	feature/subagent/subagenttool feature/workflow/toolralph	模型选择那张授权表按 subagent/model-selection-policy 事件写一次就定；provider 那份路由默认值（agentRouteDefaults）没有产出方，本次移植不收进程外提供方，所以工具措辞只有继承父路由这一支
全局具名send_message、interrupt_agent与list_agents工具，控制可继续subagent的生命周期	subagent/tool-subagent-control	需要	feature/subagent/controltool	
可选的子级作用域report工具，为可继续进程内子级提供向父agent的返回通道	subagent/tool-subagent-report	需要	feature/subagent/reporttool	
子进程 seam 定义，抽象可执行文件查找、spawn 和终端进程原语	subprocess/subprocess	不需要	—	缺前置：无
本地子进程运行时，实现 detached 进程树、按流处置和终止升级	subprocess/subprocess-local	不需要	—	缺前置：起本机子进程的能力
Windows ACL 沙箱消费的底层 Win32 进程库，独家持有 restricted-process、stdio 与 Job Object 的 Koffi 绑定表	subprocess/win32-process	不需要	—	缺前置：起本机子进程的能力
限定所有者范围的持久 PTY seam，通过具名后端路由终端操作	terminal/terminal	不需要	—	缺前置：交互式 TTY
为 ctx.terminals 提供的持久 shell 后端，在共享沙箱策略下启动交互式 shell	terminal/terminal-bash	不需要	—	缺前置：交互式 TTY
面向模型的终端工具（terminal_open、terminal_send、terminal_read 等），支持后台模式	terminal/tool-terminal	不需要	—	缺前置：交互式 TTY
**上游已删。**为 ACP 快照测试提供无密钥层、规范化器、启动器和测试套件工厂	test-support/acp-snapshot	需要	（未落地）	上游已删，继任者 test-support/session-snapshot 落在 sessionlog/snapshot 上，缺口合并到那一条
共享挂载 agent loop 测试的先决依赖（LLM、会话、提示词、工具、agent）	test-support/agent-loop-testkit	需要	harness/harnesstest	—
为客户端 UI 功能测试提供 jsdom 运行时，含真实 Cordis Context 和生产 slot 注册表	test-support/client-runtime	不需要	—	缺前置：jsdom／DOM 与 cordis
可编脚本的 OpenAI 兼容 HTTP 服务器，无需密钥即可测试 LLM 适配器和 agent 循环	test-support/llm-mock-server	需要	cmd/llmmockserver llm/mockserver	
从已记录会话日志回放 LLM 模型流，使快照测试无需 API 密钥	test-support/llm-replay	需要	feature/replay	
通过 Cordis Loader 与 cordis.yml 启动应用的共享子进程冒烟 harness，runFixtureTurn 驱动一次完整任务并返回最终文本与用量	test-support/loader-smoke	需要	harness/smoketest	子进程启动那一半没有：Loader、cordis.yml 和 src／lib 两条启动路径在 Go 里都不存在
无密钥已记录会话测试的共享支持：封闭 manifest、类型化身份脱敏、规范化、workspace 比较、fixture 保护，以及 headless、SDK、ACP 与 Web 的协议适配器	test-support/session-snapshot	需要	sessionlog/snapshot	三件套齐了：清单、身份脱敏、归一化。workspace 文件快照那部分不要（前置是本机文件系统）；协议适配器和测试套件工厂也没有——它们起子进程、且绑死 vitest
面向模型的todo_write工具，agent的完整任务列表每次调用整体替换	todo/tool-todo	需要	feature/todo	
TypeScript项目分析器和模型驱动的Typert代码生成器	typert/generator	不需要	—	缺前置：TypeScript 编译期类型信息。Go 侧用 reflect 加代码生成
生成的Typert产物的Loader集成，发现并注册贡献项	typert/loader	不需要	—	缺前置：cordis Loader 与 package.json 清单
不依赖编译器的Remote服务声明与协议映射	typert/protocol	不需要	—	缺前置：TypeScript 装饰器与类型擦除。Go 侧用 struct tag 与接口
生成的Typert产物运行时注册表，存储业务反射信息和Zod schema	typert/registry	Go 已有等价物	（Go 语言设施）	reflect 加 struct tag 白送，不移包
零依赖原子文件替换，用于设置与凭据存储	util/atomic-write	Go 已有等价物	（Go 标准库）	os.WriteFile／os.Rename／文件锁是等价原语。本仓库无磁盘，实际落点是 storage 的事务写
仅类型的Branded<B>名义类型原语，跨包id不可互换	util/brand	Go 已有等价物	（Go 语言设施）	type alias 加非导出字段实现同等效果。不是砍掉，是换手段
零依赖、浏览器可用的 UUID 与字节编码辅助，UUID 基于所有发布上下文都有的 crypto.getRandomValues，而非安全上下文限定的 crypto.randomUUID	util/crypto	Go 已有等价物	（Go 标准库）	crypto/rand 加 encoding/hex／encoding/base64
环形双端队列，两端追加与前端移除都是摊销常数时间，移除后即时释放条目并有界回收空闲存储	util/deque	Go 已有等价物	（Go 标准库）	切片本身就是摊还常数时间的双端队列，container/list 也在标准库
DeepSeek Harness用户数据共享文件系统路径辅助工具	util/home-paths	不需要	—	缺前置：本机文件系统
本次运行环境冻结为不可变快照，记住每个值来自哪一层	util/launch-environment	不需要	—	缺前置：本机文件系统
零依赖免shell execFile运行器，直接spawn可执行文件	util/native-command	不需要	—	缺前置：起本机子进程的能力、桌面 UI 宿主
轻依赖保留库，为工具提供有界面向模型输出	util/output-retention	需要	feature/outputretention	
IANA 时区校验与规范化，canonicalClientTimeZone 只接受 UTC 或 Area/Location 并回答该名称在当前平台的规范拼写	util/time	Go 已有等价物	（Go 标准库）	time.LoadLocation 校验 IANA 时区名，Location.String() 规范化
零依赖超时时序与分类纯函数库	util/timeout	需要	feature/timeout	
无损 JSON 校验、分离式快照、深度冻结、JSON 结构相等与封闭联合的穷尽失败	util/values	Go 已有等价物	sessionlog	整包在防 JS 对象图的危险（伪造原型、取值器、稀疏数组、环、-0、非有限数），Go 里要么不存在要么 encoding/json 自己就拒。逐条对照写在 sessionlog/doc.go
浏览器安全的 Workspace 路径辅助：拼接相对路径、缩写用于展示的 POSIX 主目录、从 POSIX 或 Windows 路径提取标题	util/workspace-path	Go 已有等价物	（Go 标准库）	path 包。注意不是 path/filepath——本仓库 oscheck 禁它
面向模型的web_search与web_fetch工具，基于ctx.web能力seam	web/tool-web	不需要	—	缺前置：web/web 接缝，随它一起出局
Web访问能力seam的Service Definition，定义WebRuntime接口与提供方注册	web/web	不需要	—	缺前置：搜索数据源。接缝零前置，但所有提供方都要第三方 API key
匿名公共HTTP(S)抓取提供方，URL验证与内容兜底超时	web/web-fetch-http	不需要	—	缺前置：本机文件系统
DeepSeek Anthropic兼容Messages API搜索提供方，触发原生web_search服务器工具	web/web-search-deepseek	不需要	—	缺前置：DeepSeek 官方 API key
Exa搜索端点提供方，返回高亮摘要映射为规范结果	web/web-search-exa	不需要	—	缺前置：Exa API key
Perplexity OpenAI兼容搜索提供方，生成答案与引用映射	web/web-search-perplexity	不需要	—	缺前置：Perplexity API key
Host 侧 ctx.webhookRuntime：受信任程序化 webhook 规则的注册表，唯一内置动作是在 Web Workspace 中创建普通根 Session	webhook/webhook	需要	feature/webhook	缺一角已补：provider 适配器落在 feature/webhook/github（HMAC-SHA256 验签、身份头守卫、事件体原样穿过）。HTTP 路由与回 202 仍在装配方，本包与适配器都不接 HTTP
带签名验证的 GitHub webhook 适配器，在注入的 ctx.webServer 上注册一条精确 HTTP 路由，投影提供方无关的交付并立即返回 202	webhook/webhook-github	取形重写	feature/webhook/github	缺口已补：HMAC-SHA256 验签、身份头守卫、事件体原样穿过都落在 feature/webhook/github。绑 HTTP 那一半是有意不落——入口收请求头与原始字节，路由、状态码、回 202 归装配方；请求体上限跟着走，因为它要边读边数才有意义
面向模型的ralph工具，运行固定的前台工作流把目标依次交给多个全新子agent	workflow/tool-ralph	需要	feature/workflow/toolralph	
面向模型的workflow工具，运行扇出subagent的JavaScript编排脚本并返回脚本最终值	workflow/tool-workflow	不需要	—	缺前置：JavaScript 编排引擎（workflow-worker-thread 出局），Go 侧没有产出方
工作流seam定义脚本、运行、结果、错误和事件契约，worker-thread是当前引擎实现	workflow/workflow	需要	feature/workflow	缺一角：只有接缝没有引擎。脚本正文、meta 校验、组合子那套 API 都留给实现方兑现，本仓库不带产出方；Ralph 不经过这条接缝，它的编排写死在循环里
WorkflowEngine实现，每次运行使用Node worker thread隔离脚本执行	workflow/workflow-worker-thread	不需要	—	缺前置：单进程独占（本仓库要多实例并发）
Workspace实体注册表，持久化workspace记录、顺序、会话归属索引，支持创建/删除/排序/归档操作	workspace/workspace	需要	feature/workspace	
SQL 方言底座：把键值与日志映射成表，Postgres 与 SQLite 共用一套语句	—	本仓库自有	adapter/datastore	替代 storage/storage-sqlite。服务端无磁盘，后端定 Postgres
挑测试跑在哪种库上的夹具	—	本仓库自有	adapter/datastore/internal/dbtest	只有 datastore 子树用，收进 internal
键值存储后端	—	本仓库自有	adapter/datastore/kvstore	storage 契约的生产实现
会话日志与查询的存储后端	—	本仓库自有	adapter/datastore/sessionstore、adapter/datastore/searchstore	sessionlog 的生产实现在 sessionstore，feature/sessionquery 的检索后端在 searchstore；两者的介质都是 adapter/datastore
对象存储后端	—	本仓库自有	adapter/objectstore	服务端无磁盘，附件与溢出内容走对象存储
子 agent 提供方的契约夹具	—	本仓库自有	feature/subagent/internal/providertest	只有 subagent 子树用，收进 internal
宿主装配门面与生命周期	—	本仓库自有	harness	对应 DSH bundle/* 那份有序挂载清单。DSH 靠 cordis 容器装配，本仓库不移 cordis，改成显式装配函数
能力账本工具	—	本仓库自有	internal/devtools/capmap	门禁
消费方 import 路径校验	—	本仓库自有	internal/devtools/consumercheck	门禁：全仓库唯一按路径索引的地方
数据库约定校验	—	本仓库自有	internal/devtools/dbcheck	门禁
分层校验	—	本仓库自有	internal/devtools/layercheck	门禁：docs/layers.tsv 的执行者
本机资源禁用校验	—	本仓库自有	internal/devtools/oscheck	门禁：服务端无磁盘这条的执行者
符号账本工具	—	本仓库自有	internal/devtools/portmap	门禁
规则库	—	本仓库自有	internal/devtools/rule	门禁共用
裁决表工具	—	本仓库自有	internal/devtools/rulingtable	门禁共用
工具路径校验	—	本仓库自有	internal/devtools/toolpath	门禁
